,age_group,education,gender,nationality,electoral_district,unit,n
231,16-24,Secondary education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,247
232,16-24,Higher education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,23
233,16-24,Basic education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,328
234,16-24,Secondary education,Female,Other,Harju- ja Raplamaa,Harjumaa,369
235,16-24,Higher education,Female,Other,Harju- ja Raplamaa,Harjumaa,47
236,16-24,Basic education,Female,Other,Harju- ja Raplamaa,Harjumaa,500
237,16-24,Secondary education,Female,Other,Ida-Virumaa,Ida-Virumaa,1447
238,16-24,Higher education,Female,Other,Ida-Virumaa,Ida-Virumaa,171
239,16-24,Basic education,Female,Other,Ida-Virumaa,Ida-Virumaa,1614
240,16-24,Secondary education,Female,Other,Jõgeva- ja Tartumaa,Jõgevamaa,35
241,16-24,Higher education,Female,Other,Jõgeva- ja Tartumaa,Jõgevamaa,3
242,16-24,Basic education,Female,Other,Jõgeva- ja Tartumaa,Jõgevamaa,24
243,16-24,Secondary education,Female,Other,Järva- ja Viljandimaa,Järvamaa,5
244,16-24,Higher education,Female,Other,Järva- ja Viljandimaa,Järvamaa,1
245,16-24,Basic education,Female,Other,Järva- ja Viljandimaa,Järvamaa,9
246,16-24,Secondary education,Female,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,16
247,16-24,Higher education,Female,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,1
248,16-24,Basic education,Female,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,27
249,16-24,Secondary education,Female,Other,Lääne-Virumaa,Lääne-Virumaa,77
250,16-24,Higher education,Female,Other,Lääne-Virumaa,Lääne-Virumaa,6
251,16-24,Basic education,Female,Other,Lääne-Virumaa,Lääne-Virumaa,104
252,16-24,Secondary education,Female,Other,"Võru-, Valga- ja Põlvamaa",Põlvamaa,6
253,16-24,Basic education,Female,Other,"Võru-, Valga- ja Põlvamaa",Põlvamaa,15
254,16-24,Secondary education,Female,Other,Pärnumaa,Pärnumaa,60
255,16-24,Higher education,Female,Other,Pärnumaa,Pärnumaa,13
256,16-24,Basic education,Female,Other,Pärnumaa,Pärnumaa,79
257,16-24,Secondary education,Female,Other,Harju- ja Raplamaa,Raplamaa,11
